app_id,app_pkg,app_name,category_id,data_safety_content,privacy_policy_content,incorrect,incomplete,inconsistent
1,,Blued极速版,0,"{'data_shared': [], 'data_collected': [], 'security_practices': []}",更新日期：2022年12月【22】日,0,0,0
2,,Blued极速版,0,"{'data_shared': [], 'data_collected': [], 'security_practices': []}",生效日期：2022年12月【22】日,0,0,0
3,,Blued极速版,0,"{'data_shared': [], 'data_collected': [], 'security_practices': []}","广州影游天下网络科技有限公司（以下简称""我们""）系Blued极速版平台的运营者，我们深知个人信息对您而言的重要性，我们尊重并十分重视您的隐私保护。",1,0,0
4,,Blued极速版,0,"{'data_shared': [], 'data_collected': [], 'security_practices': []}","为让您充分了解在您使用Blued极速版平台的产品或服务的过程中，我们会如何收集、使用、处理和存储您的个人信息及您享有何种权利，我们制定了本个人信息保护政策（以下简称""本政策""）。",1,0,0
5,,Blued极速版,0,"{'data_shared': [], 'data_collected': [], 'security_practices': []}",您知晓并确认您在注册时已经点击同意本政策的约定，同意我们按照本政策合法使用和保护您的个人信息。,0,0,0
6,,Blued极速版,0,"{'data_shared': [], 'data_collected': [], 'security_practices': []}",如果您不同意或不理解本政策的部分或全部内容，您应立即停止使用Blued极速版产品及服务，并按照下述列明的联系方式与我们联系。,0,0,0
7,,Blued极速版,0,"{'data_shared': [], 'data_collected': [], 'security_practices': []}",注册地址：广州市天河区科韵路12号之一3A05自编之十一室,0,0,0
8,,Blued极速版,0,"{'data_shared': [], 'data_collected': [], 'security_practices': []}",个人信息保护相关负责人联系方式：kfts@blued.com,0,0,0
9,,Blued极速版,0,"{'data_shared': [], 'data_collected': [], 'security_practices': []}",一、我们如何收集信息二、我们如何存储信息三、我们如何使用信息四、我们如何与第三方共享、对外提供信息五、我们如何保护信息六、我们如何使用Cookie等技术七、您如何访问和管理自己的信息八、我们如何保护未成年人的信息九、对第三方网站和服务责任的声明十、本政策的适用及更新十一、其他,1,0,0
10,,Blued极速版,0,"{'data_shared': [], 'data_collected': [], 'security_practices': []}",在您使用Blued极速版产品及服务的过程中，我们会按照如下方式收集您在使用服务时主动提供或因为使用服务而产生的信息，用以向您提供服务、优化我们的服务以及保障您的帐号安全。,1,0,0
11,,Blued极速版,0,"{'data_shared': [], 'data_collected': [], 'security_practices': []}",当您创建 Blued ID时，我们会收集您的昵称、头像、出生日期、手机号码、邮箱地址，收集这些信息是为了帮助您完成注册，保护您帐号的安全并完成网络实名制的要求，同时，您可以选择向我们提供身份证信息、面部特征识别信息，留存并完善实名认证。,1,0,0
12,,Blued极速版,0,"{'data_shared': [], 'data_collected': [], 'security_practices': []}",若您拒绝这类信息，您可能无法正常使用我们的服务。,0,0,0
13,,Blued极速版,0,"{'data_shared': [], 'data_collected': [], 'security_practices': []}",您可以自愿提供您的个人资料，例如您的照片，身体特征，受保护信息的特征，关系状况，性别，身高，体重，体型，位置，健康特征（例如您的 HIV 状态或最后测试日期）等。,1,0,0
14,,Blued极速版,0,"{'data_shared': [], 'data_collected': [], 'security_practices': []}",当您使用 Blued极速版服务时，您的社区个人档案信息是公开的，这意味着 Blued极速版应用程序的其他用户可以看到您发布的个人档案信息和其他个人资料（包括敏感的个人资料）。,1,0,0
15,,Blued极速版,0,"{'data_shared': [], 'data_collected': [], 'security_practices': []}",请勿将您想保持私密的信息纳入个人档案中。,0,0,0
16,,Blued极速版,0,"{'data_shared': [], 'data_collected': [], 'security_practices': []}",例如，如果您不想让您的 HIV 状态为人所知，您不应在您的 Blued个人档案中包含该信息。,0,0,0
17,,Blued极速版,0,"{'data_shared': [], 'data_collected': [], 'security_practices': []}",虽然 Blued极速版应用程序可能会允许您将某些项目 (例如：个人档案信息、偏好设定或其他信息) 设为不公开，但我们不排除第三方可能用未经授权的方式取得此信息。,1,0,0
18,,Blued极速版,0,"{'data_shared': [], 'data_collected': [], 'security_practices': []}","您应该审慎考虑要在社区个人资料中包括哪些个人资料，并且可以通过存取应用程序的""编辑个人资料""部分随时检视和变更该信息。",0,0,0
19,,Blued极速版,0,"{'data_shared': [], 'data_collected': [], 'security_practices': []}",当您浏览我们的网站或者客户端时，为保障您正常使用我们的服务，改进及优化我们的服务以及保障您的信息安全，我们会申请您同意在软件运行中（包括前台运行和后台运行）获得您的设备存储权限和设备电话权限，收集您的设备型号、操作系统、唯一设备标识符、IMEI、MAC地址、登陆IP地址、IMSI、应用安装列表、软件版本号、操作日志、服务日志信息、您进行访问的日期/时间戳、应用程序崩溃、传感器信息（重力传感器、加速度传感器、传感器列表）、SIM卡信息、IDFA、IDFV、Android ID、WIFI信息、MEID、当前运行任务、设备序列号、应用进程列表、SSID、BSSID、蓝牙信息（蓝牙名称、蓝牙地址）、WiFi扫描结果（WiFi状态、WiFi参数、附件的WiFi列表、连接的WiFi）。,1,0,0
20,,Blued极速版,0,"{'data_shared': [], 'data_collected': [], 'security_practices': []}",这类信息是为提供服务必须获得、收集的基础权限、信息，若您拒绝提供该信息会使您无法正常使用Blued极速版产品。,1,0,0
