app_id,app_pkg,app_name,category_id,data_safety_content,privacy_policy_content,result
1,,LOFTER,0,"{'data_shared': [], 'data_collected': [], 'security_practices': []}",LOFTER-隐私政策,"{""incorrect"": 1, ""incomplete"": 0, ""inconsistent"": 0}"
2,,LOFTER,0,"{'data_shared': [], 'data_collected': [], 'security_practices': []}",本版更新时间：2022年7月12日,"{""incorrect"": 0, ""incomplete"": 0, ""inconsistent"": 0}"
3,,LOFTER,0,"{'data_shared': [], 'data_collected': [], 'security_practices': []}","历史版本 2022年4月20日, 2022年1月13日","{""incorrect"": 0, ""incomplete"": 0, ""inconsistent"": 0}"
4,,LOFTER,0,"{'data_shared': [], 'data_collected': [], 'security_practices': []}","【前言】LOFTER（指LOFTER网站及其客户端程序、移动应用产品、微信公众号、小程序，以下统称""LOFTER""或""我们""）一向庄严承诺保护使用LOFTER之用户（以下统称""用户""或""您""）的个人信息和隐私安全。","{""incorrect"": 1, ""incomplete"": 0, ""inconsistent"": 0}"
5,,LOFTER,0,"{'data_shared': [], 'data_collected': [], 'security_practices': []}",您在使用LOFTER时，我们可能会收集和使用您的相关个人信息。,"{""incorrect"": 1, ""incomplete"": 0, ""inconsistent"": 0}"
6,,LOFTER,0,"{'data_shared': [], 'data_collected': [], 'security_practices': []}","我们希望通过《LOFTER隐私政策》（以下简称""本政策""）向您说明我们在收集和使用您相关个人信息时对应的处理规则等相关事宜，以便更好地保障您的权益。","{""incorrect"": 0, ""incomplete"": 0, ""inconsistent"": 0}"
7,,LOFTER,0,"{'data_shared': [], 'data_collected': [], 'security_practices': []}",【特别提示】在使用LOFTER前，请您务必仔细阅读并透彻理解本政策，特别是以粗体标识的条款，您应重点阅读，在确认充分理解并同意后再开始使用。,"{""incorrect"": 0, ""incomplete"": 0, ""inconsistent"": 0}"
8,,LOFTER,0,"{'data_shared': [], 'data_collected': [], 'security_practices': []}",如果您不同意本政策的内容，将可能导致我们的产品和服务无法正常运行，或者无法达到我们拟达到的服务效果，您应立即停止访问/使用我们的产品与/或服务。,"{""incorrect"": 0, ""incomplete"": 0, ""inconsistent"": 0}"
9,,LOFTER,0,"{'data_shared': [], 'data_collected': [], 'security_practices': []}",本政策适用于LOFTER，如与《网易隐私政策》、《网易LOFTER服务协议》同类条款之约定不一致的，以本政策为准。,"{""incorrect"": 0, ""incomplete"": 0, ""inconsistent"": 0}"
10,,LOFTER,0,"{'data_shared': [], 'data_collected': [], 'security_practices': []}","在阅读完本政策后，如您对本政策或与本政策相关的事宜有任何问题，您可通过本政策""如何联系我们""章节所列的反馈渠道联系我们，我们会尽快为您作出解答。","{""incorrect"": 0, ""incomplete"": 0, ""inconsistent"": 0}"
11,,LOFTER,0,"{'data_shared': [], 'data_collected': [], 'security_practices': []}",二、我们如何使用COOKIES或同类技术,"{""incorrect"": 0, ""incomplete"": 0, ""inconsistent"": 0}"
12,,LOFTER,0,"{'data_shared': [], 'data_collected': [], 'security_practices': []}",我们收集您的个人信息主要是为了您和其他用户能够更容易和更满意地使用LOFTER。,"{""incorrect"": 1, ""incomplete"": 0, ""inconsistent"": 0}"
13,,LOFTER,0,"{'data_shared': [], 'data_collected': [], 'security_practices': []}",我们的目标是向所有的互联网用户提供安全、有趣及有教益的上网经历，而这些信息有助于我们实现这一目标。,"{""incorrect"": 1, ""incomplete"": 0, ""inconsistent"": 0}"
14,,LOFTER,0,"{'data_shared': [], 'data_collected': [], 'security_practices': []}",1、您提供的信息。,"{""incorrect"": 0, ""incomplete"": 0, ""inconsistent"": 0}"
15,,LOFTER,0,"{'data_shared': [], 'data_collected': [], 'security_practices': []}",包括：,"{""incorrect"": 0, ""incomplete"": 0, ""inconsistent"": 0}"
16,,LOFTER,0,"{'data_shared': [], 'data_collected': [], 'security_practices': []}",（1）您在注册LOFTER的账号或使用LOFTER时，向我们提供的信息；,"{""incorrect"": 1, ""incomplete"": 0, ""inconsistent"": 0}"
17,,LOFTER,0,"{'data_shared': [], 'data_collected': [], 'security_practices': []}",（2）您通过LOFTER向第三方提供的共享信息，以及您使用LOFTER时所存储的信息。,"{""incorrect"": 1, ""incomplete"": 0, ""inconsistent"": 0}"
18,,LOFTER,0,"{'data_shared': [], 'data_collected': [], 'security_practices': []}",请注意，如您在LOFTER中其他用户可见的公开区域内上传或发布的信息、您对其他人上传或发布的信息作出的回应中公开您的信息，该等信息可能会被他人收集并加以使用。,"{""incorrect"": 1, ""incomplete"": 0, ""inconsistent"": 0}"
19,,LOFTER,0,"{'data_shared': [], 'data_collected': [], 'security_practices': []}","当您发现他人不正当地收集或使用您的信息时，可通过本政策""如何联系我们""章节所列的反馈渠道联系我们。","{""incorrect"": 0, ""incomplete"": 0, ""inconsistent"": 0}"
20,,LOFTER,0,"{'data_shared': [], 'data_collected': [], 'security_practices': []}",2、第三方共享的您的信息。,"{""incorrect"": 1, ""incomplete"": 0, ""inconsistent"": 0}"
