app_id,app_pkg,app_name,category_id,data_safety_content,privacy_policy_content,right_claim,method_claim,app_test_candidate,right_types,execution_channels,path_text,target_data,access_copy_type,time_limit,dynamic_test_goal,usability_risk,reason
1,,智联招聘,0,"【参考上下文：簇内语义聚合】以下为与当前隐私政策句同属 HDBSCAN 簇 #5 的其它句子汇总（不含当前句）。仅用于辅助理解主题；最终仍只对当前句抽取 Lab3 行权字段。

职Q板块直播协议
【同簇句】
职Q板块直播隐私保护声明
【同簇句】
职Q社区
【同簇句】
关于我们可能收集的信息详情，请您查阅《智联赚赚隐私保护声明》。
【同簇句】
更多个人信息处理详细情况，您可以查阅《智联招聘直播隐私保护声明》和《智联招聘职Q板块直播隐私保护声明》。
【同簇句】
关于我们可能收集的信息详情，请您查阅《智联赚赚隐私保护声明》。
【同簇句】
共享",职Q社区规范,0,0,0,[],[],,,,,,unknown,句子仅为社区规范标题，未涉及任何用户隐私权利或执行方式。
2,,智联招聘,0,"【参考上下文：簇内语义聚合】以下为与当前隐私政策句同属 HDBSCAN 簇 #5 的其它句子汇总（不含当前句）。仅用于辅助理解主题；最终仍只对当前句抽取 Lab3 行权字段。

职Q社区规范
【同簇句】
职Q板块直播隐私保护声明
【同簇句】
职Q社区
【同簇句】
关于我们可能收集的信息详情，请您查阅《智联赚赚隐私保护声明》。
【同簇句】
更多个人信息处理详细情况，您可以查阅《智联招聘直播隐私保护声明》和《智联招聘职Q板块直播隐私保护声明》。
【同簇句】
关于我们可能收集的信息详情，请您查阅《智联赚赚隐私保护声明》。
【同簇句】
共享",职Q板块直播协议,0,0,0,[],[],,,,,,unknown,句子仅为协议名称，未涉及任何用户隐私权利或执行方式。
3,,智联招聘,0,"【参考上下文：簇内语义聚合】以下为与当前隐私政策句同属 HDBSCAN 簇 #5 的其它句子汇总（不含当前句）。仅用于辅助理解主题；最终仍只对当前句抽取 Lab3 行权字段。

职Q社区规范
【同簇句】
职Q板块直播协议
【同簇句】
职Q社区
【同簇句】
关于我们可能收集的信息详情，请您查阅《智联赚赚隐私保护声明》。
【同簇句】
更多个人信息处理详细情况，您可以查阅《智联招聘直播隐私保护声明》和《智联招聘职Q板块直播隐私保护声明》。
【同簇句】
关于我们可能收集的信息详情，请您查阅《智联赚赚隐私保护声明》。
【同簇句】
共享",职Q板块直播隐私保护声明,0,0,0,[],[],,,,,,unknown,句子仅为文档标题，未声明任何用户隐私权利或执行方式。
4,,智联招聘,0,"【参考上下文：簇内语义聚合】以下为与当前隐私政策句同属 HDBSCAN 簇 #9 的其它句子汇总（不含当前句）。仅用于辅助理解主题；最终仍只对当前句抽取 Lab3 行权字段。

当您使用智联招聘App、智联卓聘App时，为确保App处于关闭或后台运行状态下能够正常接收客户端推送的广播信息，在征得您的授权同意后，我们须使用自启动能力，将存在一定频率通过系统发送广播唤醒App自启动或关联启动行为。
【同簇句】
当您打开内容类推送消息，在征得您的明确同意后，会跳转App打开相关内容。
【同簇句】
二、如何使用Cookie及其他同类追踪技术
【同簇句】
什么是Cookie
【同簇句】
如何使用Cookie
【同簇句】
如何管理Cookie
【同簇句】
您可根据自己的偏好管理或删除某些类别的追踪技术。",二、如何使用Cookie及其他同类追踪技术,1,0,0,"[""inform_decision""]",[],,Cookie及其他同类追踪技术,,,,unknown,句子仅作为章节标题，声明了Cookie及追踪技术的使用主题，属于知情权信号，但未提供任何用户执行方式或具体路径。
5,,智联招聘,0,"【参考上下文：簇内语义聚合】以下为与当前隐私政策句同属 HDBSCAN 簇 #7 的其它句子汇总（不含当前句）。仅用于辅助理解主题；最终仍只对当前句抽取 Lab3 行权字段。

生效日期：2023年10月03日
【同簇句】
版本：2023 V3
【同簇句】
如果您发现我们无意收集了未成年人的个人信息，请您立即通知我们，我们会尽快设法删除相关数据。
【同簇句】
基本业务功能及所需的信息
【同簇句】
扩展业务功能及所需的信息
【同簇句】
为了增加平台上其他相关用户对您的了解，向您提供更多业务功能与服务，您可根据需要自主决定是否提供下述信息。
【同簇句】
向您提供产品与/或服务过程中您自主提供的个人信息
【同簇句】
查看、搜索基于地理位置的职位
【同簇句】
向您提供产品与/或服务过程中我们主动收集的个人信息
【同簇句】
我们从第三方获取的您的个人信息
【同簇句】
Cookie可能会存储用户偏好及其他信息。
【同簇句】
为了向您提供更完善、更优质的产品和服务，某些功能可能由我们的技术服务合作方提供，我们可能会委托合作方（包括技术服务提供方）处理您的某些个人信息。
【同簇句】
在您购买上述服务/产品后，为了您能正常使用，基于您的单独同意，我们可能会与第三方服务商等合作方在必要范围内共享您的某些个人信息。
【同簇句】
访问或更正您的个人信息
【同簇句】
删除您的个人信息
【同簇句】
在以下情形中，您可以向我们提出删除您个人信息的请求，但已做数据匿名化处理或法律法规另有规定的除外：
【同簇句】
我们停止提供产品或者服务，或者保存期限已届满；
【同簇句】
当我们决定响应您的删除请求时，我们将尽快从智联招聘服务器中删除您的信息，但法律法规另有规定的除外。
【同簇句】
请您知悉，我们可能不会将您需要删除的信息立即从备份系统中删除，但会在备份系统更新时及时删除。
【同簇句】
请您知悉，在注销账号后，除非根据法律法规规定需要留存个人信息的，我们将及时删除您的个人信息或对其作匿名化处理。
【同簇句】
请您理解，我们可在我们认为必需时（例如当我们暂停服务进行维修时）不时通过本平台向您发出与服务有关的公告。
【同簇句】
获取您的个人信息副本
【同簇句】
您有权获取您的个人信息副本。
【同簇句】
对于需要过多技术手段（例如，需要开发新系统或从根本上改变现行惯例）、或存在其他显著困难的请求，我们将为您提供替代方法。
【同簇句】
我们会将在中国境内运营所收集和产生的个人信息存储在中国大陆境内。
【同簇句】
超出上述存储期限后，我们将对您的个人信息进行删除或匿名化处理。
【同簇句】
如我们因经营不善或其他原因出现停止运营的情况，除非法律法规或规范性文件另有规定，我们将会向您告知此类情况，并及时停止对您个人信息进行收集，同时删除已收集到的个人信息或对其做匿名化处理。
【同簇句】
（4）我们不时为您提供的其他产品与/或服务。
【同簇句】
删除：指在实现日常业务功能所涉及的系统中去除个人信息的行为，使其保持不可被检索、访问的状态。
【同簇句】
中国大陆或中国大陆境内：指中华人民共和国大陆地区（不包含香港特别行政区、澳门特别行政区和台湾地区）。",更新日期：2023年09月26日,0,0,0,[],[],,,,,,unknown,句子仅为隐私政策版本更新日期，未涉及任何用户隐私权利或执行方式。
6,,智联招聘,0,"【参考上下文：簇内语义聚合】以下为与当前隐私政策句同属 HDBSCAN 簇 #7 的其它句子汇总（不含当前句）。仅用于辅助理解主题；最终仍只对当前句抽取 Lab3 行权字段。

更新日期：2023年09月26日
【同簇句】
版本：2023 V3
【同簇句】
如果您发现我们无意收集了未成年人的个人信息，请您立即通知我们，我们会尽快设法删除相关数据。
【同簇句】
基本业务功能及所需的信息
【同簇句】
扩展业务功能及所需的信息
【同簇句】
为了增加平台上其他相关用户对您的了解，向您提供更多业务功能与服务，您可根据需要自主决定是否提供下述信息。
【同簇句】
向您提供产品与/或服务过程中您自主提供的个人信息
【同簇句】
查看、搜索基于地理位置的职位
【同簇句】
向您提供产品与/或服务过程中我们主动收集的个人信息
【同簇句】
我们从第三方获取的您的个人信息
【同簇句】
Cookie可能会存储用户偏好及其他信息。
【同簇句】
为了向您提供更完善、更优质的产品和服务，某些功能可能由我们的技术服务合作方提供，我们可能会委托合作方（包括技术服务提供方）处理您的某些个人信息。
【同簇句】
在您购买上述服务/产品后，为了您能正常使用，基于您的单独同意，我们可能会与第三方服务商等合作方在必要范围内共享您的某些个人信息。
【同簇句】
访问或更正您的个人信息
【同簇句】
删除您的个人信息
【同簇句】
在以下情形中，您可以向我们提出删除您个人信息的请求，但已做数据匿名化处理或法律法规另有规定的除外：
【同簇句】
我们停止提供产品或者服务，或者保存期限已届满；
【同簇句】
当我们决定响应您的删除请求时，我们将尽快从智联招聘服务器中删除您的信息，但法律法规另有规定的除外。
【同簇句】
请您知悉，我们可能不会将您需要删除的信息立即从备份系统中删除，但会在备份系统更新时及时删除。
【同簇句】
请您知悉，在注销账号后，除非根据法律法规规定需要留存个人信息的，我们将及时删除您的个人信息或对其作匿名化处理。
【同簇句】
请您理解，我们可在我们认为必需时（例如当我们暂停服务进行维修时）不时通过本平台向您发出与服务有关的公告。
【同簇句】
获取您的个人信息副本
【同簇句】
您有权获取您的个人信息副本。
【同簇句】
对于需要过多技术手段（例如，需要开发新系统或从根本上改变现行惯例）、或存在其他显著困难的请求，我们将为您提供替代方法。
【同簇句】
我们会将在中国境内运营所收集和产生的个人信息存储在中国大陆境内。
【同簇句】
超出上述存储期限后，我们将对您的个人信息进行删除或匿名化处理。
【同簇句】
如我们因经营不善或其他原因出现停止运营的情况，除非法律法规或规范性文件另有规定，我们将会向您告知此类情况，并及时停止对您个人信息进行收集，同时删除已收集到的个人信息或对其做匿名化处理。
【同簇句】
（4）我们不时为您提供的其他产品与/或服务。
【同簇句】
删除：指在实现日常业务功能所涉及的系统中去除个人信息的行为，使其保持不可被检索、访问的状态。
【同簇句】
中国大陆或中国大陆境内：指中华人民共和国大陆地区（不包含香港特别行政区、澳门特别行政区和台湾地区）。",生效日期：2023年10月03日,0,0,0,[],[],,,,,,unknown,句子仅声明隐私政策的生效日期，未涉及任何用户隐私权利、个人信息处理或执行方式。
7,,智联招聘,0,"【参考上下文：簇内语义聚合】以下为与当前隐私政策句同属 HDBSCAN 簇 #7 的其它句子汇总（不含当前句）。仅用于辅助理解主题；最终仍只对当前句抽取 Lab3 行权字段。

更新日期：2023年09月26日
【同簇句】
生效日期：2023年10月03日
【同簇句】
如果您发现我们无意收集了未成年人的个人信息，请您立即通知我们，我们会尽快设法删除相关数据。
【同簇句】
基本业务功能及所需的信息
【同簇句】
扩展业务功能及所需的信息
【同簇句】
为了增加平台上其他相关用户对您的了解，向您提供更多业务功能与服务，您可根据需要自主决定是否提供下述信息。
【同簇句】
向您提供产品与/或服务过程中您自主提供的个人信息
【同簇句】
查看、搜索基于地理位置的职位
【同簇句】
向您提供产品与/或服务过程中我们主动收集的个人信息
【同簇句】
我们从第三方获取的您的个人信息
【同簇句】
Cookie可能会存储用户偏好及其他信息。
【同簇句】
为了向您提供更完善、更优质的产品和服务，某些功能可能由我们的技术服务合作方提供，我们可能会委托合作方（包括技术服务提供方）处理您的某些个人信息。
【同簇句】
在您购买上述服务/产品后，为了您能正常使用，基于您的单独同意，我们可能会与第三方服务商等合作方在必要范围内共享您的某些个人信息。
【同簇句】
访问或更正您的个人信息
【同簇句】
删除您的个人信息
【同簇句】
在以下情形中，您可以向我们提出删除您个人信息的请求，但已做数据匿名化处理或法律法规另有规定的除外：
【同簇句】
我们停止提供产品或者服务，或者保存期限已届满；
【同簇句】
当我们决定响应您的删除请求时，我们将尽快从智联招聘服务器中删除您的信息，但法律法规另有规定的除外。
【同簇句】
请您知悉，我们可能不会将您需要删除的信息立即从备份系统中删除，但会在备份系统更新时及时删除。
【同簇句】
请您知悉，在注销账号后，除非根据法律法规规定需要留存个人信息的，我们将及时删除您的个人信息或对其作匿名化处理。
【同簇句】
请您理解，我们可在我们认为必需时（例如当我们暂停服务进行维修时）不时通过本平台向您发出与服务有关的公告。
【同簇句】
获取您的个人信息副本
【同簇句】
您有权获取您的个人信息副本。
【同簇句】
对于需要过多技术手段（例如，需要开发新系统或从根本上改变现行惯例）、或存在其他显著困难的请求，我们将为您提供替代方法。
【同簇句】
我们会将在中国境内运营所收集和产生的个人信息存储在中国大陆境内。
【同簇句】
超出上述存储期限后，我们将对您的个人信息进行删除或匿名化处理。
【同簇句】
如我们因经营不善或其他原因出现停止运营的情况，除非法律法规或规范性文件另有规定，我们将会向您告知此类情况，并及时停止对您个人信息进行收集，同时删除已收集到的个人信息或对其做匿名化处理。
【同簇句】
（4）我们不时为您提供的其他产品与/或服务。
【同簇句】
删除：指在实现日常业务功能所涉及的系统中去除个人信息的行为，使其保持不可被检索、访问的状态。
【同簇句】
中国大陆或中国大陆境内：指中华人民共和国大陆地区（不包含香港特别行政区、澳门特别行政区和台湾地区）。",版本：2023 V3,0,0,0,[],[],,,,,,unknown,句子仅包含版本号，未声明任何用户隐私权利或执行方式。
8,,智联招聘,0,"【参考上下文：簇内语义聚合】以下为与当前隐私政策句同属 HDBSCAN 簇 #17 的其它句子汇总（不含当前句）。仅用于辅助理解主题；最终仍只对当前句抽取 Lab3 行权字段。

智联招聘App、智联卓聘App基本业务功能为「求职招聘信息交换」功能，此功能下必要个人信息为：您的移动电话号码和您提供的简历信息。
【同簇句】
智联推推
【同簇句】
在智联招聘App、智联卓聘App，借助于Cookie和其他类似技术，我们可以在您每次使用智联招聘产品与/或服务时识别您是否属于我们的用户，而不必在每个页面上重新登录和验证。
【同簇句】
智联招聘App：指由智联招聘及其关联公司开发的""智联招聘App""及其各个版本，用户既可以作为招聘者在智联招聘App上发布招聘信息，也可自由切换至求职者身份，从而发现职位信息并进行投递。
【同簇句】
智联卓聘App：指由智联招聘及其关联公司开发的""智联卓聘App""及其各个版本，用户可以作为求职者在App上向猎头和招聘方投递简历。
【同簇句】
智联推推：指由智联招聘及其关联公司开发的智联推推一站式线上内推系统，包括""智联推推""网页及微信小程序及其各个版本以及将来还可能为您提供的其他客户端，用户可以作为招聘者在智联推推上发布内推职位、设置奖励方案并发放奖励等。
【同簇句】
智联招聘产品与/或服务：指智联招聘向您提供的以下产品与/或服务：（1）通过智联招聘网站（zhaopin.com）提供的智联招聘产品与/或服务；
【同簇句】
（2）通过智联招聘App提供的智联招聘产品与/或服务；
【同簇句】
（3）通过智联卓聘App提供的智联招聘产品与/或服务；
【同簇句】
关联公司：指智联招聘合并报表范围内的下属公司或其他关联企业，且该公司/企业现在或将来与指由北京网聘信息技术有限公司具有控制、受控制或处于其他企业的共同控制下的关系。
【同簇句】
用户或您：指使用智联招聘产品与/或服务的求职者用户和招聘者用户（含猎头用户和用人单位）。","智联招聘产品与/或服务（详情请查阅《智联招聘隐私政策》第11条： 关键词定义 ）是由北京网聘信息技术有限公司（注册地址为：北京市朝阳区望京阜荣街10号）及其关联公司（以下统称""我们""）为 用户 （包括求职者用户和招聘者用户（含猎头用户和用人单位），以下简称""您""，详情请查阅 关键词定义 ）通过智联招聘App（详情请查阅《智联招聘隐私政策》第11条： 关键词定义 ）、智联招聘网站（zhaopin.com）、智联卓聘App、智联推推网站及小程序以及我们现在或将来还可能为您提供其他客户端（以下统称""本平台""）提供的在线求职招聘产品与/或服务。",1,0,0,"[""inform_decision""]",[],,智联招聘产品与/或服务、用户类型、平台定义,,,,unknown,句子仅定义产品/服务范围和用户类型，属于知情权中的服务说明，未涉及用户权利执行方式或具体路径。
9,,智联招聘,0,"【参考上下文】本句在句向量聚类中为噪声点（未归入稠密簇）。下列为同文档中抽取的若干其它句子，仅作 Lab3 行权方式识别的弱参照。

职Q社区规范
【同簇句】
职Q板块直播协议
【同簇句】
职Q板块直播隐私保护声明
【同簇句】
二、如何使用Cookie及其他同类追踪技术
【同簇句】
更新日期：2023年09月26日
【同簇句】
生效日期：2023年10月03日
【同簇句】
版本：2023 V3
【同簇句】
智联招聘产品与/或服务（详情请查阅《智联招聘隐私政策》第11条： 关键词定义 ）是由北京网聘信息技术有限公司（注册地址为：北京市朝阳区望京阜荣街10号）及其关联公司（以下统称""我们""）为 用户 （包括求职者用户和招聘者用户（含猎头用户和用人单位），以下简称""您""，详情请查阅 关键词定义 ）通过智联招聘App（详情请查阅《智联招聘隐私政策》第11条： 关键词定义 ）、智联招聘网站（zhaopin.com）、智联卓聘App、智联推推网站及小程序以及我们现在或将来还可能为您提供其他客户端（以下统称""本平台""）提供的在线求职招聘产品与/或服务。
【同簇句】
您应当在仔细阅读、充分理解本政策后，选择是否同意本政策的内容以及是否同意使用智联招聘产品与/或服务。
【同簇句】
当您点击""同意""时，代表您已阅读和愿意接受本政策的所有内容，并确认您是年满 16 周岁的用户或者是已满 16 周岁但不满 18 周岁的未成年人的监护人。
【同簇句】
如果您不同意本政策的内容，将无法体验智联招聘完整的产品与/或服务，但您可以进一步选择使用""基础功能""或""浏览模式""。
【同簇句】
本平台仅面向 年满十六周岁 的用户提供产品与/或服务。
【同簇句】
我们不会在明知的情况下收集未满十六周岁未成年人的个人信息。
【同簇句】
若涉及年满十六周岁但不满十八周岁的未成年人使用智联招聘产品与/或服务的，需由其监护人阅读并同意本政策，为其注册账户和填写相关个人信息后方可使用智联招聘产品与/或服务。
【同簇句】
如果您发现我们无意收集了未成年人的个人信息，请您立即通知我们，我们会尽快设法删除相关数据。
【同簇句】
对 敏感个人信息 ，我们用"" 加粗斜体 ""的书写方式进行特别提醒，希望您在阅读时 特别关注 。
【同簇句】
在您向我们提供您的任何 敏感个人信息 前，您已慎重考虑并在此确认该等提供是适当的，您在此同意您的 敏感个人信息 可按照本政策所述的目的和方式进行处理。
【同簇句】
本政策已将求职招聘类应用程序必要个人信息收集范围进行了单独列明，希望您重点关注。
【同簇句】
我们不会收集与提供服务无关的个人信息，若您不同意提供基本功能以外服务所需的个人信息被收集使用的，请您不要开启智联招聘应用的各项扩展业务功能。
【同簇句】
此外，如您不希望我们收集您的任何个人信息，我们将为您提供「浏览」模式，在该模式下，您可以浏览智联招聘产品与/或服务的部分内容。","我们根据《中华人民共和国网络安全法》《中华人民共和国个人信息保护法》《中华人民共和国数据安全法》《常见类型移动互联网应用程序必要个人信息范围规定》等法律法规，并参考《信息安全技术 个人信息安全规范》（GB/T 35273-2020）等国家标准，制订《智联招聘隐私政策》（以下简称""本政策""）并致力于保护您的个人信息安全。",1,0,0,"[""inform_decision""]",[],,,,,,unknown,句子声明隐私政策依据法律法规制定，属于知情权信号，但未提供具体用户权利执行方式或路径。
10,,智联招聘,0,"【参考上下文】本句在句向量聚类中为噪声点（未归入稠密簇）。下列为同文档中抽取的若干其它句子，仅作 Lab3 行权方式识别的弱参照。

职Q社区规范
【同簇句】
职Q板块直播协议
【同簇句】
职Q板块直播隐私保护声明
【同簇句】
二、如何使用Cookie及其他同类追踪技术
【同簇句】
更新日期：2023年09月26日
【同簇句】
生效日期：2023年10月03日
【同簇句】
版本：2023 V3
【同簇句】
智联招聘产品与/或服务（详情请查阅《智联招聘隐私政策》第11条： 关键词定义 ）是由北京网聘信息技术有限公司（注册地址为：北京市朝阳区望京阜荣街10号）及其关联公司（以下统称""我们""）为 用户 （包括求职者用户和招聘者用户（含猎头用户和用人单位），以下简称""您""，详情请查阅 关键词定义 ）通过智联招聘App（详情请查阅《智联招聘隐私政策》第11条： 关键词定义 ）、智联招聘网站（zhaopin.com）、智联卓聘App、智联推推网站及小程序以及我们现在或将来还可能为您提供其他客户端（以下统称""本平台""）提供的在线求职招聘产品与/或服务。
【同簇句】
我们根据《中华人民共和国网络安全法》《中华人民共和国个人信息保护法》《中华人民共和国数据安全法》《常见类型移动互联网应用程序必要个人信息范围规定》等法律法规，并参考《信息安全技术 个人信息安全规范》（GB/T 35273-2020）等国家标准，制订《智联招聘隐私政策》（以下简称""本政策""）并致力于保护您的个人信息安全。
【同簇句】
当您点击""同意""时，代表您已阅读和愿意接受本政策的所有内容，并确认您是年满 16 周岁的用户或者是已满 16 周岁但不满 18 周岁的未成年人的监护人。
【同簇句】
如果您不同意本政策的内容，将无法体验智联招聘完整的产品与/或服务，但您可以进一步选择使用""基础功能""或""浏览模式""。
【同簇句】
本平台仅面向 年满十六周岁 的用户提供产品与/或服务。
【同簇句】
我们不会在明知的情况下收集未满十六周岁未成年人的个人信息。
【同簇句】
若涉及年满十六周岁但不满十八周岁的未成年人使用智联招聘产品与/或服务的，需由其监护人阅读并同意本政策，为其注册账户和填写相关个人信息后方可使用智联招聘产品与/或服务。
【同簇句】
如果您发现我们无意收集了未成年人的个人信息，请您立即通知我们，我们会尽快设法删除相关数据。
【同簇句】
对 敏感个人信息 ，我们用"" 加粗斜体 ""的书写方式进行特别提醒，希望您在阅读时 特别关注 。
【同簇句】
在您向我们提供您的任何 敏感个人信息 前，您已慎重考虑并在此确认该等提供是适当的，您在此同意您的 敏感个人信息 可按照本政策所述的目的和方式进行处理。
【同簇句】
本政策已将求职招聘类应用程序必要个人信息收集范围进行了单独列明，希望您重点关注。
【同簇句】
我们不会收集与提供服务无关的个人信息，若您不同意提供基本功能以外服务所需的个人信息被收集使用的，请您不要开启智联招聘应用的各项扩展业务功能。
【同簇句】
此外，如您不希望我们收集您的任何个人信息，我们将为您提供「浏览」模式，在该模式下，您可以浏览智联招聘产品与/或服务的部分内容。",您应当在仔细阅读、充分理解本政策后，选择是否同意本政策的内容以及是否同意使用智联招聘产品与/或服务。,1,1,1,"[""consent""]","[""app_ui""]",选择是否同意本政策的内容以及是否同意使用智联招聘产品与/或服务,,,,验证 App 首次启动或注册时是否提供同意/拒绝隐私政策的选项，并确认拒绝后是否仅提供浏览模式,low,句子提供了用户选择是否同意隐私政策及服务的明确入口，属于决定权中的同意控制，路径清晰且可动态验证。
