app,item_count,items
360借条,21,IP地址 | 交易信息 | 人脸信息 | 剪贴板 | 地理位置信息 | 头像 | 姓名 | 手机号码 | 指纹信息 | 搜索记录 | 日志信息 | 浏览记录 | 相册/图片 | 短信 | 联系人信息 | 订单信息 | 设备标识信息 | 账户信息 | 身份证号码 | 通话记录 | 银行卡信息
51Job,20,IP地址 | 交易信息 | 人脸信息 | 出生日期 | 地理位置信息 | 头像 | 姓名 | 年龄 | 性别 | 手机号码 | 搜索记录 | 日志信息 | 昵称 | 浏览记录 | 相册/图片 | 短信 | 设备标识信息 | 账户信息 | 身份证号码 | 麦克风权限
58同城,19,IP地址 | 交易信息 | 人脸信息 | 出生日期 | 地理位置信息 | 头像 | 姓名 | 手机号码 | 指纹信息 | 搜索记录 | 昵称 | 浏览记录 | 相册/图片 | 短信 | 设备标识信息 | 账户信息 | 身份证号码 | 银行卡信息 | 麦克风权限
BOSS,15,IP地址 | 交易信息 | 地理位置信息 | 姓名 | 手机号码 | 搜索记录 | 日志信息 | 浏览记录 | 相册/图片 | 短信 | 订单信息 | 设备标识信息 | 账户信息 | 身份证号码 | 麦克风权限
BOSS直聘,15,IP地址 | 交易信息 | 地理位置信息 | 姓名 | 手机号码 | 搜索记录 | 日志信息 | 浏览记录 | 相册/图片 | 短信 | 订单信息 | 设备标识信息 | 账户信息 | 身份证号码 | 麦克风权限
Blued极速版,19,IP地址 | 交易信息 | 人脸信息 | 出生日期 | 地理位置信息 | 头像 | 姓名 | 手机号码 | 搜索记录 | 摄像头权限 | 日志信息 | 昵称 | 浏览记录 | 相册/图片 | 短信 | 设备标识信息 | 账户信息 | 身份证号码 | 麦克风权限
Hi 医生,12,IP地址 | MAC地址 | 交易信息 | 地理位置信息 | 摄像头权限 | 日志信息 | 浏览记录 | 相册/图片 | 联系人信息 | 设备标识信息 | 账户信息 | 麦克风权限
Keep,14,IP地址 | 交易信息 | 地理位置信息 | 头像 | 姓名 | 性别 | 手机号码 | 搜索记录 | 日志信息 | 昵称 | 浏览记录 | 相册/图片 | 账户信息 | 麦克风权限
LOFTER,14,IP地址 | 交易信息 | 地理位置信息 | 头像 | 姓名 | 手机号码 | 搜索记录 | 日志信息 | 昵称 | 浏览记录 | 相册/图片 | 订单信息 | 账户信息 | 身份证号码
Soul,20,IP地址 | 出生日期 | 剪贴板 | 地理位置信息 | 头像 | 姓名 | 年龄 | 性别 | 手机号码 | 搜索记录 | 摄像头权限 | 日志信息 | 昵称 | 浏览记录 | 相册/图片 | 短信 | 联系人信息 | 设备标识信息 | 账户信息 | 身份证号码
世纪佳缘,21,IP地址 | MAC地址 | 交易信息 | 人脸信息 | 出生日期 | 地理位置信息 | 姓名 | 年龄 | 性别 | 手机号码 | 搜索记录 | 摄像头权限 | 昵称 | 浏览记录 | 相册/图片 | 联系人信息 | 订单信息 | 设备标识信息 | 账户信息 | 身份证号码 | 麦克风权限
东方财富,12,IP地址 | MAC地址 | 交易信息 | 地理位置信息 | 手机号码 | 搜索记录 | 日志信息 | 浏览记录 | 相册/图片 | 设备标识信息 | 账户信息 | 麦克风权限
中国工商银行,24,IP地址 | MAC地址 | 交易信息 | 人脸信息 | 地理位置信息 | 声纹信息 | 头像 | 姓名 | 性别 | 手机号码 | 指纹信息 | 搜索记录 | 摄像头权限 | 日志信息 | 昵称 | 相册/图片 | 短信 | 联系人信息 | 订单信息 | 设备标识信息 | 账户信息 | 身份证号码 | 银行卡信息 | 麦克风权限
京东健康,14,交易信息 | 人脸信息 | 地理位置信息 | 手机号码 | 指纹信息 | 搜索记录 | 摄像头权限 | 浏览记录 | 相册/图片 | 联系人信息 | 订单信息 | 账户信息 | 身份证号码 | 麦克风权限
京东金融,16,交易信息 | 人脸信息 | 地理位置信息 | 头像 | 姓名 | 性别 | 手机号码 | 指纹信息 | 日志信息 | 昵称 | 浏览记录 | 相册/图片 | 账户信息 | 身份证号码 | 银行卡信息 | 麦克风权限
好大夫医生版,8,IP地址 | 地理位置信息 | 手机号码 | 搜索记录 | 日志信息 | 浏览记录 | 设备标识信息 | 账户信息
