item,total,pos,pos_ratio,pos_count,uncount
IP地址,10,10,1.00,10,0
MAC地址,10,10,1.00,10,0
交易信息,10,10,1.00,10,0
人脸信息,10,10,1.00,10,0
出生日期,10,9,0.90,9,1
地理位置信息,10,8,0.80,8,2
头像,10,10,1.00,10,0
姓名,10,10,1.00,10,0
年龄,10,10,1.00,10,0
性别,10,10,1.00,10,0
手机号码,10,10,1.00,10,0
指纹信息,10,9,0.90,9,1
搜索记录,10,10,1.00,10,0
摄像头权限,10,10,1.00,10,0
日志信息,10,10,1.00,10,0
昵称,10,9,0.90,9,1
浏览记录,10,10,1.00,10,0
相册/图片,10,10,1.00,10,0
短信,10,10,1.00,10,0
联系人信息,10,10,1.00,10,0
订单信息,10,10,1.00,10,0
设备标识信息,10,10,1.00,10,0
账户信息,10,10,1.00,10,0
身份证号码,10,10,1.00,10,0
银行卡信息,10,10,1.00,10,0
麦克风权限,10,10,1.00,10,0
剪贴板,7,6,0.86,6,1
声纹信息,5,5,1.00,5,0
通话记录,5,5,1.00,5,0
