item,total,pos_ratio,pos_count,uncount,neg_count,other
IP地址,10,0.70,7,0,3,0
MAC地址,10,0.80,8,0,2,0
交易信息,10,1.00,10,0,0,0
人脸信息,10,0.90,9,0,1,0
出生日期,10,0.80,8,2,0,0
地理位置信息,10,0.90,9,0,1,0
头像,10,0.90,9,1,0,0
姓名,10,0.90,9,0,1,0
年龄,10,0.70,7,2,1,0
性别,10,0.80,8,1,1,0
手机号码,10,1.00,10,0,0,0
指纹信息,10,0.70,7,1,2,0
搜索记录,10,0.90,9,1,0,0
摄像头权限,10,0.80,8,2,0,0
日志信息,10,1.00,10,0,0,0
昵称,10,1.00,10,0,0,0
浏览记录,10,0.80,8,0,2,0
相册/图片,10,1.00,10,0,0,0
短信,10,0.80,8,1,1,0
联系人信息,10,0.80,8,1,1,0
订单信息,10,0.80,8,2,0,0
设备标识信息,10,0.90,9,0,1,0
账户信息,10,0.80,8,0,2,0
身份证号码,10,1.00,10,0,0,0
银行卡信息,10,1.00,10,0,0,0
麦克风权限,10,1.00,10,0,0,0
剪贴板,7,0.86,6,0,1,0
声纹信息,5,0.80,4,0,1,0
通话记录,5,0.80,4,1,0,0
